Question,"Fall, Year 1","Spring, Year 1","Elective, Year 2",Currently Taking,Not Interested,Finance,Equity Research,Banking,Management,Asset Management,Financial Investments & Markets,Sales & Trading,Strategy,Economics,Operations,Real Estate,Corporate Finance,Accounting,Social Innovation & Impact,Marketing,Brand Management,Product Management,Data Analytics,Business Development,Venture Capital,Investment Management,Markets & Instruments,EMT,Entrepreneurship,Innovation,Leadership & Change Management,Healthcare Administration,IOMS,Investment Banking,Business Analytics,Consulting,Social Enterprise,"What comes to mind when you hear the phrase ""sharing economy""?",Source
Planned specialization,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,"mba_feedback_2.pdf, p33"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Effecitve us/maximize use of resources,"mba_feedback_2.pdf, p33"
Technical basics course,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_2.pdf, p34"
Does not teach programming,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_2.pdf, p34"
Taking a technology product from idea to launch,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_2.pdf, p34"
Planned specialization,,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_2.pdf, p34"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Zipcar, new living realty with a large shared common area","mba_feedback_2.pdf, p34"
Technical basics course,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_2.pdf, p35"
Does not teach programming,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_2.pdf, p35"
Taking a technology product from idea to launch,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_2.pdf, p35"
Planned specialization,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,"mba_feedback_2.pdf, p35"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arun Sundararajan. Ideal for small cities,"mba_feedback_2.pdf, p35"
Technical basics course,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_2.pdf, p36"
Does not teach programming,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_2.pdf, p36"
Taking a technology product from idea to launch,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_2.pdf, p36"
Planned specialization,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,"mba_feedback_2.pdf, p36"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Airbnb, mobile as a remote control that removes friction from sharing","mba_feedback_2.pdf, p36"
Technical basics course,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p1"
Does not teach programming,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p1"
Taking a technology product from idea to launch,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p1"
Planned specialization,,,,,,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,"mba_feedback_3.pdf, p1"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Countries working together & sharing strengths with each other,"mba_feedback_3.pdf, p1"
Technical basics course,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p2"
Does not teach programming,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p2"
Taking a technology product from idea to launch,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p2"
Planned specialization,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p2"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Launch,"mba_feedback_3.pdf, p2"
Technical basics course,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p3"
Does not teach programming,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p3"
Taking a technology product from idea to launch,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p3"
Planned specialization,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p3"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Concepts like citibike where resources are ""owned"" initially & constantly re-used or repurposed","mba_feedback_3.pdf, p3"
Technical basics course,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p4"
Does not teach programming,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p4"
Taking a technology product from idea to launch,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p4"
Planned specialization,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p4"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Information,"mba_feedback_3.pdf, p4"
Technical basics course,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p5"
Does not teach programming,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p5"
Taking a technology product from idea to launch,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p5"
Planned specialization,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p5"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p5"
Technical basics course,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p6"
Does not teach programming,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p6"
Taking a technology product from idea to launch,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p6"
Planned specialization,,,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,"mba_feedback_3.pdf, p6"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,People giving other people things. Barter,"mba_feedback_3.pdf, p6"
Technical basics course,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p7"
Does not teach programming,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p7"
Taking a technology product from idea to launch,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p7"
Planned specialization,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p7"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p7"
Technical basics course,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p8"
Does not teach programming,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p8"
Taking a technology product from idea to launch,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p8"
Planned specialization,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p8"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p8"
Technical basics course,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p9"
Does not teach programming,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p9"
Taking a technology product from idea to launch,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p9"
Planned specialization,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,"mba_feedback_3.pdf, p9"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sharing to better use underutilized assets,"mba_feedback_3.pdf, p9"
Technical basics course,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p10"
Does not teach programming,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p10"
Taking a technology product from idea to launch,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p10"
Planned specialization,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p10"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Making consuner goods almost public goods with a price,"mba_feedback_3.pdf, p10"
Technical basics course,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p11"
Does not teach programming,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p11"
Taking a technology product from idea to launch,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p11"
Planned specialization,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,"mba_feedback_3.pdf, p11"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p11"
Technical basics course,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p12"
Does not teach programming,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p12"
Taking a technology product from idea to launch,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p12"
Planned specialization,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p12"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uber,"mba_feedback_3.pdf, p12"
Technical basics course,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p13"
Does not teach programming,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p13"
Taking a technology product from idea to launch,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p13"
Planned specialization,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,1,,,"mba_feedback_3.pdf, p13"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Airbnb, Zipcar","mba_feedback_3.pdf, p13"
Technical basics course,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p14"
Does not teach programming,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p14"
Taking a technology product from idea to launch,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p14"
Planned specialization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"mba_feedback_3.pdf, p14"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consumers don't need to buy new products/services but rent fro others who have that product service available,"mba_feedback_3.pdf, p14"
Technical basics course,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p15"
Does not teach programming,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p15"
Taking a technology product from idea to launch,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p15"
Planned specialization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"mba_feedback_3.pdf, p15"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Socialism?,"mba_feedback_3.pdf, p15"
Technical basics course,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p16"
Does not teach programming,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p16"
Taking a technology product from idea to launch,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p16"
Planned specialization,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p16"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sharing different skillsets to achieve a common goal,"mba_feedback_3.pdf, p16"
Technical basics course,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p17"
Does not teach programming,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p17"
Taking a technology product from idea to launch,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p17"
Planned specialization,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,"mba_feedback_3.pdf, p17"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citi Bike Sharing Program,"mba_feedback_3.pdf, p17"
Technical basics course,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p18"
Does not teach programming,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p18"
Taking a technology product from idea to launch,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p18"
Planned specialization,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p18"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Something that might work in tne future,"mba_feedback_3.pdf, p18"
Technical basics course,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p19"
Does not teach programming,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p19"
Taking a technology product from idea to launch,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p19"
Planned specialization,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p19"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zipcar,"mba_feedback_3.pdf, p19"
Technical basics course,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p20"
Does not teach programming,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p20"
Taking a technology product from idea to launch,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p20"
Planned specialization,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p20"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shared resources,"mba_feedback_3.pdf, p20"
Technical basics course,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p21"
Does not teach programming,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p21"
Taking a technology product from idea to launch,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p21"
Planned specialization,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,"mba_feedback_3.pdf, p21"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Opportunity,"mba_feedback_3.pdf, p21"
Technical basics course,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p22"
Does not teach programming,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p22"
Taking a technology product from idea to launch,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p22"
Planned specialization,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p22"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,econ where ppi share goods,"mba_feedback_3.pdf, p22"
Technical basics course,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p23"
Does not teach programming,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p23"
Taking a technology product from idea to launch,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p23"
Planned specialization,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,"mba_feedback_3.pdf, p23"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Air BnB, Pospr, Rules Rides, etc.","mba_feedback_3.pdf, p23"
Technical basics course,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p24"
Does not teach programming,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p24"
Taking a technology product from idea to launch,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p24"
Planned specialization,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,"mba_feedback_3.pdf, p24"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p24"
Technical basics course,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p25"
Does not teach programming,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p25"
Taking a technology product from idea to launch,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p25"
Planned specialization,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p25"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"haring resources in a more efficient way (specifically - Zipcar, shared ladder in a building, second hand furnitures)","mba_feedback_3.pdf, p25"
Technical basics course,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p26"
Does not teach programming,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p26"
Taking a technology product from idea to launch,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p26"
Planned specialization,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p26"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nth_,"mba_feedback_3.pdf, p26"
Technical basics course,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p27"
Does not teach programming,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p27"
Taking a technology product from idea to launch,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p27"
Planned specialization,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p27"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p27"
Technical basics course,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p28"
Does not teach programming,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p28"
Taking a technology product from idea to launch,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p28"
Planned specialization,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p28"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zipcar,"mba_feedback_3.pdf, p28"
