Question,"Fall, Year 1","Spring, Year 1","Elective, Year 2",Currently Taking,Not Interested,Finance,Equity Research,Banking,Management,Asset Management,Financial Investments & Markets,Sales & Trading,Strategy,Economics,Operations,Real Estate,Corporate Finance,Accounting,Social Innovation & Impact,Marketing,Brand Management,Product Management,Data Analytics,Business Development,Venture Capital,Investment Management,Markets & Instruments,EMT,Entrepreneurship,Innovation,Leadership & Change Management,Healthcare Administration,IOMS,Investment Banking,Business Analytics,Consulting,Social Enterprise,"What comes to mind when you hear the phrase ""sharing economy""?",Source
Technical basics course,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p29"
Does not teach programming,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p29"
Taking a technology product from idea to launch,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p29"
Planned specialization,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,"mba_feedback_3.pdf, p29"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p29"
Technical basics course,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p30"
Does not teach programming,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p30"
Taking a technology product from idea to launch,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p30"
Planned specialization,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,"mba_feedback_3.pdf, p30"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Launch project,"mba_feedback_3.pdf, p30"
Technical basics course,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p31"
Does not teach programming,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p31"
Taking a technology product from idea to launch,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p31"
Planned specialization,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p31"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p31"
Technical basics course,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p32"
Does not teach programming,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p32"
Taking a technology product from idea to launch,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p32"
Planned specialization,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,"mba_feedback_3.pdf, p32"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p32"
Technical basics course,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p33"
Does not teach programming,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p33"
Taking a technology product from idea to launch,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p33"
Planned specialization,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,"mba_feedback_3.pdf, p33"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rental, not ownership","mba_feedback_3.pdf, p33"
Technical basics course,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p34"
Does not teach programming,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p34"
Taking a technology product from idea to launch,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p34"
Planned specialization,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,"mba_feedback_3.pdf, p34"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unsure,"mba_feedback_3.pdf, p34"
Technical basics course,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p35"
Does not teach programming,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p35"
Taking a technology product from idea to launch,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p35"
Planned specialization,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,"mba_feedback_3.pdf, p35"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p35"
Technical basics course,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p36"
Does not teach programming,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p36"
Taking a technology product from idea to launch,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p36"
Planned specialization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p36"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p36"
Technical basics course,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p37"
Does not teach programming,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p37"
Taking a technology product from idea to launch,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p37"
Planned specialization,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p37"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AirBnB,"mba_feedback_3.pdf, p37"
Technical basics course,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p38"
Does not teach programming,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p38"
Taking a technology product from idea to launch,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p38"
Planned specialization,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_3.pdf, p38"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Using the internet to organize shared use of previously independently used items (cars, apartments, etc)","mba_feedback_3.pdf, p38"
Technical basics course,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p1"
Does not teach programming,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p1"
Taking a technology product from idea to launch,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p1"
Planned specialization,,,,,,1,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,1,,,,"mba_feedback_4.pdf, p1"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Zipcar, AirBnB","mba_feedback_4.pdf, p1"
Technical basics course,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p2"
Does not teach programming,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p2"
Taking a technology product from idea to launch,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p2"
Planned specialization,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,1,,,,,,,,,"mba_feedback_4.pdf, p2"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lyft, AirBnB, a buzz pharse that is over-hyped. A fad in the tech world that will last but not be as sexy as it is now. (not interested in a tech course . . . . .","mba_feedback_4.pdf, p2"
Technical basics course,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p3"
Does not teach programming,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p3"
Taking a technology product from idea to launch,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p3"
Planned specialization,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p3"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business that allows customers to pay in order to share assets,"mba_feedback_4.pdf, p3"
Technical basics course,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p4"
Does not teach programming,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p4"
Taking a technology product from idea to launch,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p4"
Planned specialization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,"mba_feedback_4.pdf, p4"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Airbnb, craiglist","mba_feedback_4.pdf, p4"
Technical basics course,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p5"
Does not teach programming,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p5"
Taking a technology product from idea to launch,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p5"
Planned specialization,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,"mba_feedback_4.pdf, p5"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p5"
Technical basics course,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p6"
Does not teach programming,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p6"
Taking a technology product from idea to launch,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p6"
Planned specialization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p6"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Airbnb, car-sharing","mba_feedback_4.pdf, p6"
Technical basics course,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p7"
Does not teach programming,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p7"
Taking a technology product from idea to launch,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p7"
Planned specialization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"mba_feedback_4.pdf, p7"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not sure to which extent it will work in developed countries,"mba_feedback_4.pdf, p7"
Technical basics course,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p8"
Does not teach programming,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p8"
Taking a technology product from idea to launch,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p8"
Planned specialization,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p8"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p8"
Technical basics course,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p9"
Does not teach programming,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p9"
Taking a technology product from idea to launch,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p9"
Planned specialization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p9"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p9"
Technical basics course,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p10"
Does not teach programming,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p10"
Taking a technology product from idea to launch,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p10"
Planned specialization,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,"mba_feedback_4.pdf, p10"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AirBNB,"mba_feedback_4.pdf, p10"
Technical basics course,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p11"
Does not teach programming,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p11"
Taking a technology product from idea to launch,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p11"
Planned specialization,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p11"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Power drills and citi bikes,"mba_feedback_4.pdf, p11"
Technical basics course,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p12"
Does not teach programming,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p12"
Taking a technology product from idea to launch,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p12"
Planned specialization,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,"mba_feedback_4.pdf, p12"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AirBnB?,"mba_feedback_4.pdf, p12"
Technical basics course,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p13"
Does not teach programming,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p13"
Taking a technology product from idea to launch,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p13"
Planned specialization,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,"mba_feedback_4.pdf, p13"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air BnB,"mba_feedback_4.pdf, p13"
Technical basics course,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p14"
Does not teach programming,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p14"
Taking a technology product from idea to launch,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p14"
Planned specialization,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p14"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citibikes! And Lyft! And airbnb! The future,"mba_feedback_4.pdf, p14"
Technical basics course,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p15"
Does not teach programming,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p15"
Taking a technology product from idea to launch,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p15"
Planned specialization,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,"mba_feedback_4.pdf, p15"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It is a buzzowrd for learning,"mba_feedback_4.pdf, p15"
Technical basics course,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p16"
Does not teach programming,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p16"
Taking a technology product from idea to launch,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p16"
Planned specialization,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,"mba_feedback_4.pdf, p16"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,An economic system based on shared resources with the use technologies/communities,"mba_feedback_4.pdf, p16"
Technical basics course,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p17"
Does not teach programming,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p17"
Taking a technology product from idea to launch,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p17"
Planned specialization,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,"mba_feedback_4.pdf, p17"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cloud,"mba_feedback_4.pdf, p17"
Technical basics course,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p18"
Does not teach programming,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p18"
Taking a technology product from idea to launch,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p18"
Planned specialization,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,"mba_feedback_4.pdf, p18"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p18"
Technical basics course,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p19"
Does not teach programming,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p19"
Taking a technology product from idea to launch,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p19"
Planned specialization,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,"mba_feedback_4.pdf, p19"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratization of resources,"mba_feedback_4.pdf, p19"
Technical basics course,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p20"
Does not teach programming,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p20"
Taking a technology product from idea to launch,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p20"
Planned specialization,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"mba_feedback_4.pdf, p20"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Internet enabled devices,"mba_feedback_4.pdf, p20"
Technical basics course,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p21"
Does not teach programming,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p21"
Taking a technology product from idea to launch,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p21"
Planned specialization,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p21"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communism,"mba_feedback_4.pdf, p21"
Technical basics course,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p22"
Does not teach programming,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p22"
Taking a technology product from idea to launch,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p22"
Planned specialization,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p22"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hopefully the future of humanity - much more efficient use of assets. Uber/Lyft, AitBnB, Citibike","mba_feedback_4.pdf, p22"